quality,method,ssimulacra2_mean,ssimulacra2_p05,ssimulacra2_p25,ssimulacra2_p50,ssimulacra2_p75,ssimulacra2_p95,ssimulacra2_min,ssimulacra2_max,psnr_mean,psnr_p05,psnr_p25,psnr_p50,psnr_p75,psnr_p95,psnr_min,psnr_max,ssim_mean,ssim_p05,ssim_p25,ssim_p50,ssim_p75,ssim_p95,ssim_min,ssim_max,butteraugli_mean,butteraugli_p05,butteraugli_p25,butteraugli_p50,butteraugli_p75,butteraugli_p95,butteraugli_min,butteraugli_max,file_size_mean,file_size_p05,file_size_p25,file_size_p50,file_size_p75,file_size_p95,file_size_min,file_size_max,bits_per_pixel_mean,bits_per_pixel_p05,bits_per_pixel_p25,bits_per_pixel_p50,bits_per_pixel_p75,bits_per_pixel_p95,bits_per_pixel_min,bits_per_pixel_max,encoding_time_mean,encoding_time_p05,encoding_time_p25,encoding_time_p50,encoding_time_p75,encoding_time_p95,encoding_time_min,encoding_time_max,encoding_time_per_pixel_mean,encoding_time_per_pixel_p05,encoding_time_per_pixel_p25,encoding_time_per_pixel_p50,encoding_time_per_pixel_p75,encoding_time_per_pixel_p95,encoding_time_per_pixel_min,encoding_time_per_pixel_max,compression_ratio_mean,compression_ratio_p05,compression_ratio_p25,compression_ratio_p50,compression_ratio_p75,compression_ratio_p95,compression_ratio_min,compression_ratio_max,bits_per_ssimulacra2_per_pixel_mean,bits_per_ssimulacra2_per_pixel_p05,bits_per_ssimulacra2_per_pixel_p25,bits_per_ssimulacra2_per_pixel_p50,bits_per_ssimulacra2_per_pixel_p75,bits_per_ssimulacra2_per_pixel_p95,bits_per_ssimulacra2_per_pixel_min,bits_per_ssimulacra2_per_pixel_max,bits_per_psnr_per_pixel_mean,bits_per_psnr_per_pixel_p05,bits_per_psnr_per_pixel_p25,bits_per_psnr_per_pixel_p50,bits_per_psnr_per_pixel_p75,bits_per_psnr_per_pixel_p95,bits_per_psnr_per_pixel_min,bits_per_psnr_per_pixel_max,bits_per_ssim_per_pixel_mean,bits_per_ssim_per_pixel_p05,bits_per_ssim_per_pixel_p25,bits_per_ssim_per_pixel_p50,bits_per_ssim_per_pixel_p75,bits_per_ssim_per_pixel_p95,bits_per_ssim_per_pixel_min,bits_per_ssim_per_pixel_max,bits_per_butteraugli_per_pixel_mean,bits_per_butteraugli_per_pixel_p05,bits_per_butteraugli_per_pixel_p25,bits_per_butteraugli_per_pixel_p50,bits_per_butteraugli_per_pixel_p75,bits_per_butteraugli_per_pixel_p95,bits_per_butteraugli_per_pixel_min,bits_per_butteraugli_per_pixel_max
90,3,84.32,83.23,83.95,84.26,84.64,85.49,83.04,85.71,39.23,37.43,38.5,38.99,39.72,41.38,37.16,41.8,0.9678,0.9497,0.9628,0.9712,0.9763,0.9811,0.9464,0.9823,2.679,1.525,1.907,2.241,3.014,4.447,1.429,4.805,5.477e+05,3.046e+05,4.449e+05,5.918e+05,6.945e+05,7.29e+05,269480,737626,1.63,0.8032,1.264,1.711,2.078,2.344,0.688,2.411,0.4964,0.4672,0.4749,0.4934,0.515,0.5299,0.4652,0.5336,1.807e-07,1.549e-07,1.643e-07,1.76e-07,1.924e-07,2.129e-07,1.526e-07,2.18e-07,8.582,5.995,6.659,7.563,9.486,12.59,5.829,13.37,0.01928,0.009633,0.01503,0.02011,0.02437,0.02776,0.008285,0.02861,0.04228,0.0196,0.03214,0.04389,0.05402,0.0627,0.01646,0.06487,1.681,0.8347,1.331,1.77,2.12,2.404,0.7106,2.474,4.766,1.835,2.524,2.909,5.151,10.3,1.663,11.58
90,4,84.41,83.61,83.94,84.2,84.67,85.52,83.53,85.74,39.26,37.43,38.48,38.98,39.75,41.48,37.16,41.91,0.968,0.9496,0.9636,0.9718,0.9763,0.9811,0.9461,0.9824,2.646,1.558,2.095,2.333,2.883,4.172,1.424,4.495,5.487e+05,3.056e+05,4.459e+05,5.929e+05,6.956e+05,7.3e+05,270474,738620,1.633,0.8058,1.267,1.715,2.081,2.347,0.6905,2.414,0.496,0.3957,0.4488,0.5135,0.5607,0.5718,0.3824,0.5746,1.808e-07,1.4e-07,1.473e-07,1.79e-07,2.126e-07,2.242e-07,1.382e-07,2.272e-07,8.56,5.986,6.648,7.548,9.46,12.55,5.821,13.32,0.01931,0.00963,0.01508,0.02017,0.02439,0.02778,0.008267,0.02863,0.04235,0.01963,0.03223,0.04398,0.0541,0.06278,0.01648,0.06495,1.684,0.8368,1.334,1.774,2.124,2.407,0.7124,2.478,4.67,1.782,2.504,3.114,5.279,9.735,1.601,10.85
90,5,84.32,83.72,83.84,84.01,84.49,85.34,83.69,85.55,39.15,37.3,38.39,38.86,39.62,41.41,37.03,41.85,0.9671,0.9485,0.9631,0.971,0.975,0.9804,0.9449,0.9817,2.482,1.548,1.85,2.074,2.707,3.987,1.473,4.308,5.35e+05,3.026e+05,4.324e+05,5.766e+05,6.791e+05,7.093e+05,270138,716858,1.592,0.7973,1.228,1.667,2.031,2.28,0.6897,2.343,0.5408,0.4921,0.5178,0.5403,0.5633,0.5903,0.4857,0.597,1.969e-07,1.604e-07,1.82e-07,2.034e-07,2.182e-07,2.241e-07,1.55e-07,2.255e-07,8.722,6.16,6.807,7.775,9.69,12.61,5.998,13.34,0.01886,0.009513,0.0146,0.01963,0.02388,0.02712,0.008241,0.02792,0.04139,0.01944,0.03129,0.0429,0.053,0.06121,0.01648,0.06327,1.643,0.8283,1.295,1.726,2.075,2.342,0.7116,2.408,4.302,1.691,2.459,2.809,4.652,9.003,1.499,10.09
90,6,84.31,83.72,83.83,83.94,84.42,85.4,83.69,85.64,39.17,37.33,38.38,38.88,39.66,41.43,37.07,41.87,0.9672,0.9484,0.9631,0.9712,0.9754,0.9806,0.9447,0.9819,2.599,1.519,1.828,2.183,2.953,4.261,1.442,4.588,5.254e+05,2.958e+05,4.204e+05,5.638e+05,6.688e+05,7.014e+05,264634,709532,1.564,0.7792,1.193,1.63,2.001,2.255,0.6756,2.319,1.03,0.6491,0.7999,1.078,1.308,1.344,0.6114,1.353,3.811e-07,2.126e-07,2.827e-07,4.005e-07,4.99e-07,5.225e-07,1.951e-07,5.284e-07,8.901,6.231,6.914,7.964,9.951,12.88,6.06,13.62,0.01852,0.009305,0.01423,0.01921,0.0235,0.02678,0.008073,0.0276,0.04064,0.01899,0.03042,0.04193,0.05215,0.06047,0.01614,0.06255,1.614,0.8094,1.259,1.688,2.043,2.315,0.6971,2.383,4.417,1.784,2.412,2.703,4.708,9.451,1.627,10.64
100,0,89.58,88.35,89.01,89.83,90.4,90.48,88.18,90.51,42.14,39.85,41.44,42.14,42.84,44.45,39.45,44.85,0.9831,0.9745,0.9799,0.984,0.9872,0.9905,0.9731,0.9913,2.008,0.9596,1.049,1.33,2.289,4.007,0.9373,4.437,1.537e+06,9.912e+05,1.376e+06,1.668e+06,1.829e+06,1.9e+06,895110,1917260,4.549,2.609,3.903,4.823,5.469,6.106,2.285,6.266,0.2459,0.1889,0.2234,0.2592,0.2817,0.2844,0.1803,0.2851,9.035e-08,6.181e-08,7.887e-08,9.371e-08,1.052e-07,1.142e-07,5.754e-08,1.164e-07,2.894,2.299,2.527,2.653,3.019,3.825,2.243,4.026,0.05083,0.02913,0.04327,0.05333,0.06088,0.06902,0.02559,0.07105,0.1097,0.05911,0.09175,0.1145,0.1324,0.1535,0.05095,0.1588,4.624,2.663,4.005,4.907,5.526,6.19,2.327,6.356,10.27,3.779,4.517,4.851,10.61,24.36,3.595,27.8
100,1,89.6,88.42,89.04,89.83,90.4,90.47,88.26,90.49,42.15,39.85,41.44,42.14,42.84,44.47,39.45,44.87,0.9831,0.9745,0.98,0.9841,0.9872,0.9905,0.9731,0.9913,1.967,0.9667,1.085,1.304,2.186,3.895,0.9373,4.322,1.524e+06,9.763e+05,1.36e+06,1.657e+06,1.821e+06,1.887e+06,880376,1903492,4.513,2.57,3.859,4.792,5.446,6.066,2.248,6.221,0.2861,0.2471,0.2588,0.2726,0.2999,0.344,0.2441,0.355,1.046e-07,8.849e-08,8.945e-08,9.258e-08,1.077e-07,1.376e-07,8.826e-08,1.45e-07,2.923,2.314,2.537,2.671,3.057,3.886,2.259,4.093,0.05041,0.02869,0.04278,0.05299,0.06061,0.0685,0.02517,0.07048,0.1088,0.05821,0.09071,0.1137,0.1318,0.1525,0.05009,0.1577,4.587,2.623,3.96,4.875,5.502,6.148,2.288,6.31,10.01,3.545,4.475,4.923,10.46,23.6,3.313,26.89
100,2,89.6,88.41,89.04,89.83,90.39,90.47,88.26,90.49,42.15,39.85,41.44,42.14,42.84,44.47,39.45,44.87,0.9831,0.9745,0.98,0.9841,0.9872,0.9905,0.9731,0.9913,1.967,0.9667,1.085,1.304,2.186,3.895,0.9373,4.322,1.524e+06,9.763e+05,1.36e+06,1.657e+06,1.821e+06,1.887e+06,880302,1903652,4.513,2.57,3.859,4.792,5.446,6.066,2.248,6.221,0.3111,0.2662,0.2764,0.3121,0.3469,0.3547,0.2636,0.3567,1.13e-07,9.622e-08,9.99e-08,1.055e-07,1.187e-07,1.403e-07,9.53e-08,1.457e-07,2.924,2.314,2.537,2.671,3.057,3.886,2.259,4.094,0.05041,0.02869,0.04278,0.05299,0.06062,0.06851,0.02517,0.07049,0.1088,0.05821,0.09071,0.1137,0.1318,0.1525,0.05009,0.1577,4.587,2.622,3.96,4.875,5.502,6.149,2.288,6.311,10.01,3.545,4.475,4.923,10.46,23.6,3.313,26.89
100,3,89.76,88.53,89.2,89.98,90.54,90.7,88.36,90.74,42.24,39.9,41.51,42.22,42.94,44.6,39.5,45.01,0.9836,0.9751,0.9807,0.9846,0.9875,0.9908,0.9737,0.9916,1.941,0.8835,0.9976,1.314,2.257,3.878,0.855,4.283,1.139e+06,7.805e+05,1.053e+06,1.249e+06,1.334e+06,1.342e+06,712356,1344180,3.357,2.052,2.986,3.631,4.003,4.28,1.819,4.349,0.5438,0.4554,0.4807,0.5352,0.5984,0.6443,0.4491,0.6558,1.982e-07,1.646e-07,1.738e-07,1.812e-07,2.056e-07,2.554e-07,1.623e-07,2.679e-07,3.833,3.273,3.44,3.521,3.914,4.83,3.231,5.059,0.03742,0.02287,0.03306,0.04007,0.04444,0.04826,0.02033,0.04922,0.08064,0.04632,0.07001,0.08602,0.09665,0.1074,0.0404,0.1101,3.412,2.093,3.062,3.693,4.043,4.336,1.85,4.41,7.088,2.945,3.212,3.426,7.301,16.36,2.878,18.62
100,4,89.75,88.53,89.2,89.98,90.53,90.66,88.36,90.69,42.24,39.9,41.51,42.22,42.94,44.6,39.5,45.01,0.9836,0.9751,0.9807,0.9846,0.9875,0.9908,0.9737,0.9916,1.95,0.8884,1.048,1.335,2.238,3.874,0.8486,4.283,1.139e+06,7.808e+05,1.053e+06,1.249e+06,1.334e+06,1.342e+06,712694,1343968,3.358,2.053,2.986,3.631,4.002,4.28,1.82,4.349,0.5173,0.4303,0.4451,0.5136,0.5858,0.6096,0.4266,0.6155,1.893e-07,1.402e-07,1.564e-07,1.928e-07,2.257e-07,2.334e-07,1.361e-07,2.353e-07,3.832,3.273,3.44,3.521,3.913,4.828,3.231,5.056,0.03743,0.02288,0.03306,0.04008,0.04445,0.04826,0.02034,0.04922,0.08064,0.04634,0.07001,0.08601,0.09664,0.1074,0.04042,0.1101,3.412,2.093,3.062,3.693,4.042,4.337,1.851,4.41,7.129,2.902,3.182,3.529,7.476,16.39,2.833,18.62
100,5,89.67,88.39,89.11,89.91,90.46,90.62,88.21,90.65,42.2,39.87,41.46,42.17,42.9,44.57,39.47,44.98,0.9834,0.9748,0.9805,0.9844,0.9874,0.9906,0.9734,0.9914,2.013,1.046,1.063,1.339,2.289,3.923,1.042,4.331,1.127e+06,7.674e+05,1.042e+06,1.241e+06,1.327e+06,1.327e+06,698800,1327086,3.325,2.018,2.954,3.591,3.962,4.261,1.784,4.335,0.5676,0.4819,0.5121,0.5547,0.6102,0.6715,0.4743,0.6868,2.082e-07,1.571e-07,1.801e-07,2.005e-07,2.287e-07,2.702e-07,1.514e-07,2.805e-07,3.879,3.288,3.476,3.56,3.963,4.918,3.241,5.157,0.03711,0.02251,0.03273,0.03966,0.04404,0.04813,0.01995,0.04915,0.07996,0.0456,0.06934,0.08517,0.09578,0.107,0.03966,0.1098,3.38,2.058,3.03,3.653,4.003,4.318,1.815,4.397,7.306,2.975,3.402,3.788,7.692,16.56,2.869,18.78
100,6,89.69,88.44,89.14,89.93,90.48,90.62,88.27,90.65,42.21,39.89,41.48,42.19,42.92,44.58,39.49,44.99,0.9835,0.9749,0.9805,0.9845,0.9874,0.9907,0.9735,0.9915,1.993,0.9601,1.054,1.393,2.331,3.868,0.9365,4.252,1.116e+06,7.513e+05,1.03e+06,1.23e+06,1.316e+06,1.321e+06,681734,1322242,3.294,1.976,2.92,3.557,3.931,4.243,1.741,4.321,1.404,1.049,1.215,1.461,1.65,1.678,1.007,1.685,5.161e-07,3.428e-07,4.287e-07,5.368e-07,6.243e-07,6.602e-07,3.214e-07,6.692e-07,3.932,3.302,3.505,3.594,4.021,5.033,3.252,5.286,0.03674,0.02204,0.03234,0.03928,0.04368,0.0479,0.01946,0.04895,0.07919,0.04465,0.06851,0.08431,0.09499,0.1065,0.03869,0.1094,3.347,2.016,2.995,3.618,3.971,4.3,1.771,4.382,7.125,3.036,3.406,3.591,7.311,16.16,2.944,18.37
